AcX,AcY,AcZ,FSR A,FSR B
-14140,-6728,-2596,1205,0
,,,,
-14144,-6676,-2804,1207,0
,,,,
-14220,-6792,-2572,1203,0
,,,,
-14236,-6724,-2936,1200,0
,,,,
-14168,-6796,-2664,1211,0
,,,,
-14132,-6672,-2664,1216,0
,,,,
-14048,-6704,-2780,1207,0
,,,,
-14064,-6780,-2504,1201,0
,,,,
-14092,-6772,-2632,1226,0
,,,,
-14260,-6788,-2536,1210,0
,,,,
-14160,-6752,-2672,1213,0
,,,,
-14104,-6688,-2712,1200,0
,,,,
-14064,-6800,-2780,1202,0
,,,,
-14164,-6796,-2776,1222,0
,,,,
-14080,-6808,-2676,1199,0
,,,,
-14144,-6752,-2628,1200,0
,,,,
-14016,-6800,-2496,1198,0
,,,,
-14080,-6676,-2668,1218,0
,,,,
-14000,-6700,-2724,1207,0
,,,,
-13984,-6776,-2632,1207,0
,,,,
-14068,-6712,-2628,1216,0
,,,,
-14088,-6668,-2624,1222,0
,,,,
-14136,-6672,-2700,1226,0
,,,,
-14228,-6748,-2716,1165,0
,,,,
-14120,-6744,-2560,1207,0
,,,,
-14080,-6760,-2752,1216,0
,,,,
-14164,-6768,-2700,1214,0
,,,,
-14172,-6828,-2700,1188,0
,,,,
-14092,-6800,-2640,1244,0
,,,,
-14068,-6788,-2644,1207,0
,,,,
-14092,-6760,-2588,1215,0
,,,,
-14160,-6744,-2544,1209,0
,,,,
-14088,-6724,-2636,1202,0
,,,,
-14128,-6760,-2644,1195,0
,,,,
-14052,-6760,-2536,1212,0
,,,,
-14120,-6636,-2680,1211,0
,,,,
-14080,-6696,-2768,1211,0
,,,,
-14080,-6736,-2632,1206,0
,,,,
-14092,-6772,-2636,1177,0
,,,,
-13996,-6660,-2732,1209,0
,,,,
-14136,-6696,-2672,1213,0
,,,,
-14096,-6716,-2664,1211,0
,,,,
-14016,-6680,-2716,1211,0
,,,,
-14176,-6656,-2552,1227,0
,,,,
-14152,-6668,-2544,1210,0
,,,,
-14280,-6792,-2648,1216,0
,,,,
-14168,-6788,-2624,1210,0
,,,,
-14160,-6776,-2792,1213,0
,,,,
-14072,-6880,-2680,1231,0
,,,,
-14176,-6836,-2768,1215,0
,,,,
-14236,-6876,-2700,1210,0
,,,,
-14052,-6828,-2672,1189,0
,,,,
-14084,-6748,-2628,1213,0
,,,,
-14116,-6720,-2508,1235,0
,,,,
-14164,-6780,-2588,1215,0
,,,,
-14060,-6728,-2636,1212,0
,,,,
-14152,-6700,-2844,1202,0
,,,,
-14060,-6828,-2760,1219,0
,,,,
-14156,-6804,-2528,1216,0
,,,,
-14144,-6780,-2712,1207,0
,,,,
-14240,-6792,-2688,1211,0
,,,,
-14180,-6720,-2632,1231,0
,,,,
-14184,-6756,-2676,1214,0
,,,,
-14120,-6652,-2636,1207,0
,,,,
-14200,-6788,-2752,1213,0
,,,,
-14172,-6712,-2732,1215,0
,,,,
-14128,-6728,-2504,1210,0
,,,,
-14112,-6664,-2524,1224,0
,,,,
-14188,-6764,-2620,1229,0
,,,,
-14200,-6648,-2744,1211,0
,,,,
-14104,-6704,-2808,1214,0
,,,,
-14084,-6832,-2604,1211,0
,,,,
-14120,-6804,-2840,1223,0
,,,,
-14220,-6844,-2672,1171,0
,,,,
-14120,-6840,-2684,1207,0
,,,,
-14132,-6824,-2584,1213,0
,,,,
-14132,-6764,-2620,1214,0
,,,,
-14084,-6780,-2584,1183,0
,,,,
-14280,-6680,-2796,1168,0
,,,,
-14268,-6636,-2644,1205,0
,,,,
-14100,-6584,-2576,1214,0
,,,,
-14232,-6620,-2592,1205,0
,,,,
-14160,-6704,-2492,1185,0
,,,,
-14068,-6708,-2556,1247,0
,,,,
-14200,-6764,-2756,1204,0
,,,,
-14144,-6748,-2616,1210,0
,,,,
-14284,-6812,-2556,1207,0
,,,,
-14156,-6812,-2620,1214,0
,,,,
-14180,-6568,-2788,1216,0
,,,,
-14064,-6676,-2604,1213,0
,,,,
-14068,-6676,-2660,1215,0
,,,,
-14168,-6700,-2464,1210,0
,,,,
-14220,-6764,-2640,1206,0
,,,,
-14156,-6732,-2596,1190,0
,,,,
-14128,-6772,-2604,1207,0
,,,,
-14232,-6764,-2616,1213,0
,,,,
-14184,-6780,-2620,1220,0
,,,,
-14124,-6764,-2672,1211,0
,,,,
-14180,-6804,-2616,1168,0
,,,,
-14096,-6732,-2604,1205,0
,,,,
-14256,-6700,-2736,1213,0
,,,,
-14244,-6704,-2668,1214,0
,,,,
-14068,-6676,-2572,1167,0
,,,,
-14188,-6688,-2528,1248,0
,,,,
-14160,-6700,-2764,1211,0
,,,,
-14140,-6796,-2728,1216,0
,,,,
-14192,-6680,-2664,1216,0
,,,,
-14204,-6676,-2528,1171,0
,,,,
-14064,-6660,-2476,1245,0
,,,,
-14264,-6616,-2576,1210,0
,,,,
-14092,-6764,-2624,1210,0
,,,,
-14260,-6716,-2576,1217,0
,,,,
-14096,-6752,-2528,1172,0
,,,,
-14092,-6844,-2468,1167,0
,,,,
-14076,-6816,-2564,1210,0
,,,,
-14040,-6620,-2432,1211,0
,,,,
-14172,-6668,-2524,1215,0
,,,,
-14156,-6688,-2544,1211,0
,,,,
-14132,-6604,-2588,1183,0
,,,,
-14108,-6660,-2576,1212,0
,,,,
-14136,-6748,-2656,1215,0
,,,,
-14100,-6680,-2628,1200,0
,,,,
-14148,-6720,-2564,1214,0
,,,,
-14224,-6680,-2472,1241,0
,,,,
-14120,-6668,-2668,1211,0
,,,,
-14096,-6592,-2392,1211,0
,,,,
-14116,-6556,-2480,1194,0
,,,,
-14180,-6784,-2548,1212,0
,,,,
-14260,-6644,-2484,1230,0
